"","id","gender","heightmetre","trainingProgram","programAnnualCost","lastfitnessscore","date","Weight","BMI","CaloriesIn","CaloriesBurned","Steps","DistanceMiles","Floors","MinutesLightlyActive","MinutesFairlyActive","MinutesVeryActive","ActivityCalories","MinutesAsleep","MinutesAwake","TimeinBed","MinutesREMSleep","MinutesLightSleep","MinutesDeepSleep","WaterConsumedOz","RestingHeartBpm","MaxHeartBpm","MinHeartBpm","AvgHeartBpm","ActivityMinutes","TimesStepsCompleteHr"
"1",100,"f",1.68,"program1",300,800,"2/8/2017",174,29,1499,1691,4698,10,37,77,73,15,785,160,48,201,88,198,110,34,74,145,76,80,149,6
"2",100,"f",1.68,"program1",300,800,"3/16/2017",113,18,1221,1567,6061,3,31,90,78,91,338,458,19,297,106,227,87,43,89,99,100,71,63,1
"3",100,"f",1.68,"program1",300,800,"6/20/2017",277,17,1947,2316,8113,10,50,53,30,8,819,136,87,13,60,188,18,79,82,147,84,109,156,3
"4",100,"f",1.68,"program1",300,800,"9/1/2017",131,25,1023,1359,1090,2,39,28,50,71,226,421,52,463,83,99,75,30,78,172,93,70,105,7
"5",100,"f",1.68,"program1",300,800,"12/7/2017",175,15,1481,2038,5722,4,21,17,37,2,272,404,12,30,23,247,63,39,81,150,85,120,124,6
"6",100,"f",1.68,"program1",300,800,"1/18/2017",298,26,1627,2947,1461,2,42,78,46,28,1131,325,26,420,33,183,9,64,87,93,100,74,76,3
"7",100,"f",1.68,"program1",300,800,"8/3/2017",229,16,1276,1786,3607,10,39,61,68,65,534,470,79,154,28,46,91,53,70,141,87,91,135,1
"8",100,"f",1.68,"program1",300,800,"10/29/2017",147,19,1613,1183,2264,1,16,14,8,93,504,287,28,405,56,205,64,34,99,136,96,102,171,5
"9",100,"f",1.68,"program1",300,800,"4/1/2017",217,29,1856,2348,1590,5,7,76,27,89,1107,130,63,452,48,284,15,33,96,107,70,116,125,2
"10",100,"f",1.68,"program1",300,800,"3/29/2017",155,15,1496,2123,4154,9,47,25,64,15,295,127,71,56,23,225,72,47,89,112,97,78,38,4
"11",100,"f",1.68,"program1",300,800,"8/18/2017",128,20,1130,2518,3506,1,37,68,94,8,118,296,40,250,35,251,75,16,93,101,97,72,86,8
"12",100,"f",1.68,"program1",300,800,"1/25/2017",128,17,1752,2757,2714,3,6,67,32,18,858,392,36,242,55,300,84,68,82,77,98,116,79,11
"13",100,"f",1.68,"program1",300,800,"9/11/2017",125,22,1849,2493,3847,4,28,8,20,58,1164,394,86,455,61,283,99,57,81,176,82,78,111,1
"14",100,"f",1.68,"program1",300,800,"10/12/2017",277,27,1402,2329,6263,2,6,39,50,49,473,233,73,279,85,78,120,21,96,115,85,97,72,12
"15",100,"f",1.68,"program1",300,800,"3/11/2017",209,28,1587,2781,2335,1,24,85,30,84,1200,303,34,38,63,38,77,12,84,143,86,77,115,9
"16",100,"f",1.68,"program1",300,800,"4/1/2017",164,19,1061,1358,8111,10,4,28,59,18,687,241,107,64,67,12,20,37,86,111,77,70,59,7
"17",100,"f",1.68,"program1",300,800,"4/16/2017",277,24,1071,1732,6039,4,46,42,56,68,792,137,111,208,34,157,82,43,83,144,96,71,49,11
"18",100,"f",1.68,"program1",300,800,"6/18/2017",247,17,1965,2704,826,9,44,27,68,53,108,204,91,382,80,131,58,19,77,173,98,111,75,6
"19",100,"f",1.68,"program1",300,800,"10/21/2017",203,18,1361,2014,8893,9,6,26,65,63,847,170,76,102,6,208,28,20,94,127,94,72,176,8
"20",100,"f",1.68,"program1",300,800,"7/8/2017",293,27,1713,1785,9369,5,34,47,70,9,933,228,37,264,14,186,80,26,95,185,72,72,63,2
"21",100,"f",1.68,"program1",300,800,"11/3/2017",277,23,1260,1606,9125,7,18,56,87,35,353,441,58,151,89,15,120,74,93,106,96,120,55,1
"22",100,"f",1.68,"program1",300,800,"6/21/2017",136,27,1063,2698,2492,7,50,56,80,8,187,377,29,361,76,16,18,33,99,126,92,110,174,4
"23",100,"f",1.68,"program1",300,800,"3/6/2017",256,22,1630,1966,6658,2,25,17,61,81,1147,200,92,311,11,115,28,53,86,145,98,112,86,6
"24",100,"f",1.68,"program1",300,800,"1/4/2017",171,28,1782,2915,9356,4,35,81,84,60,822,322,120,449,43,81,33,59,75,147,73,109,98,2
"25",100,"f",1.68,"program1",300,800,"7/18/2017",185,27,1601,1945,1733,6,16,45,78,94,595,198,110,137,17,79,51,65,79,159,84,112,38,4
"26",100,"f",1.68,"program1",300,800,"5/19/2017",283,18,1889,1887,742,3,11,49,56,22,1449,294,9,471,28,182,84,61,82,103,81,105,86,10
"27",100,"f",1.68,"program1",300,800,"4/3/2017",102,28,1738,1958,3850,5,1,70,12,35,698,330,13,103,116,188,82,47,71,142,75,73,118,2
"28",100,"f",1.68,"program1",300,800,"4/29/2017",179,16,1199,1246,5531,3,9,29,15,71,878,338,88,468,48,23,75,70,96,106,97,74,147,3
"29",100,"f",1.68,"program1",300,800,"1/11/2017",279,18,1518,2254,7415,9,1,26,96,31,915,187,35,248,110,75,114,46,96,160,87,104,54,1
"30",100,"f",1.68,"program1",300,800,"7/19/2017",264,30,1916,1420,5910,3,41,89,96,53,306,137,49,229,18,195,107,73,99,101,74,104,148,5
"31",100,"f",1.68,"program1",300,800,"1/23/2017",250,22,1201,1948,5773,5,24,44,66,13,1361,424,88,342,32,63,106,44,95,92,87,73,47,9
"32",100,"f",1.68,"program1",300,800,"10/8/2017",205,27,1603,2896,151,10,15,86,5,7,1056,284,55,234,99,178,42,16,89,101,85,78,70,12
"33",100,"f",1.68,"program1",300,800,"6/6/2017",255,28,1417,1418,77,4,3,87,36,73,333,377,61,40,70,45,57,70,98,176,91,94,35,8
"34",100,"f",1.68,"program1",300,800,"10/5/2017",108,21,1534,1410,7926,5,42,56,58,31,617,140,119,228,69,99,74,75,87,99,83,111,66,7
"35",100,"f",1.68,"program1",300,800,"11/12/2017",146,28,1293,2771,5857,8,44,23,91,8,728,452,116,118,41,194,31,41,75,82,71,99,115,5
"36",100,"f",1.68,"program1",300,800,"6/2/2017",237,18,1756,1312,3476,10,9,73,70,85,1103,370,80,438,49,223,76,74,85,156,72,70,151,10
"37",100,"f",1.68,"program1",300,800,"6/23/2017",214,27,1586,2076,6104,6,20,61,52,43,450,424,32,19,61,79,13,19,79,84,98,94,107,2
"38",100,"f",1.68,"program1",300,800,"6/26/2017",192,26,1964,1660,4775,10,29,97,80,43,593,439,102,201,46,113,28,65,75,152,83,73,118,7
"39",100,"f",1.68,"program1",300,800,"9/2/2017",249,28,1801,2530,7384,1,41,57,29,3,1361,409,91,96,78,8,99,46,80,180,94,84,155,10
